,Country,GDP
2014-01-01,Argentina,-1.525750623
2014-01-02,Argentina,-1.525750623
2014-01-03,Argentina,-1.525750623
2014-01-04,Argentina,-1.525750623
2014-01-05,Argentina,-1.525750623
2014-01-06,Argentina,-1.525750623
2014-01-07,Argentina,-1.525750623
2014-01-08,Argentina,-1.525750623
2014-01-09,Argentina,-1.525750623
2014-01-10,Argentina,-1.525750623
2014-01-11,Argentina,-1.525750623
2014-01-12,Argentina,-1.525750623
2014-01-13,Argentina,-1.525750623
2014-01-14,Argentina,-1.525750623
2014-01-15,Argentina,-1.525750623
2014-01-16,Argentina,-1.525750623
2014-01-17,Argentina,-1.525750623
2014-01-18,Argentina,-1.525750623
2014-01-19,Argentina,-1.525750623
2014-01-20,Argentina,-1.525750623
2014-01-21,Argentina,-1.525750623
2014-01-22,Argentina,-1.525750623
2014-01-23,Argentina,-1.525750623
2014-01-24,Argentina,-1.525750623
2014-01-25,Argentina,-1.525750623
2014-01-26,Argentina,-1.525750623
2014-01-27,Argentina,-1.525750623
2014-01-28,Argentina,-1.525750623
2014-01-29,Argentina,-1.525750623
2014-01-30,Argentina,-1.525750623
2014-01-31,Argentina,-1.525750623
2014-02-01,Argentina,-1.525750623
2014-02-02,Argentina,-1.525750623
2014-02-03,Argentina,-1.525750623
2014-02-04,Argentina,-1.525750623
2014-02-05,Argentina,-1.525750623
2014-02-06,Argentina,-1.525750623
2014-02-07,Argentina,-1.525750623
2014-02-08,Argentina,-1.525750623
2014-02-09,Argentina,-1.525750623
2014-02-10,Argentina,-1.525750623
2014-02-11,Argentina,-1.525750623
2014-02-12,Argentina,-1.525750623
2014-02-13,Argentina,-1.525750623
2014-02-14,Argentina,-1.525750623
2014-02-15,Argentina,-1.525750623
2014-02-16,Argentina,-1.525750623
2014-02-17,Argentina,-1.525750623
2014-02-18,Argentina,-1.525750623
2014-02-19,Argentina,-1.525750623
2014-02-20,Argentina,-1.525750623
2014-02-21,Argentina,-1.525750623
2014-02-22,Argentina,-1.525750623
2014-02-23,Argentina,-1.525750623
2014-02-24,Argentina,-1.525750623
2014-02-25,Argentina,-1.525750623
2014-02-26,Argentina,-1.525750623
2014-02-27,Argentina,-1.525750623
2014-02-28,Argentina,-1.525750623
2014-03-01,Argentina,-1.525750623
2014-03-02,Argentina,-1.525750623
2014-03-03,Argentina,-1.525750623
2014-03-04,Argentina,-1.525750623
2014-03-05,Argentina,-1.525750623
2014-03-06,Argentina,-1.525750623
2014-03-07,Argentina,-1.525750623
2014-03-08,Argentina,-1.525750623
2014-03-09,Argentina,-1.525750623
2014-03-10,Argentina,-1.525750623
2014-03-11,Argentina,-1.525750623
2014-03-12,Argentina,-1.525750623
2014-03-13,Argentina,-1.525750623
2014-03-14,Argentina,-1.525750623
2014-03-15,Argentina,-1.525750623
2014-03-16,Argentina,-1.525750623
2014-03-17,Argentina,-1.525750623
2014-03-18,Argentina,-1.525750623
2014-03-19,Argentina,-1.525750623
2014-03-20,Argentina,-1.525750623
2014-03-21,Argentina,-1.525750623
2014-03-22,Argentina,-1.525750623
2014-03-23,Argentina,-1.525750623
2014-03-24,Argentina,-1.525750623
2014-03-25,Argentina,-1.525750623
2014-03-26,Argentina,-1.525750623
2014-03-27,Argentina,-1.525750623
2014-03-28,Argentina,-1.525750623
2014-03-29,Argentina,-1.525750623
2014-03-30,Argentina,-1.525750623
2014-03-31,Argentina,-1.525750623
2014-04-01,Argentina,-0.701398856
2014-04-02,Argentina,-0.701398856
2014-04-03,Argentina,-0.701398856
2014-04-04,Argentina,-0.701398856
2014-04-05,Argentina,-0.701398856
