date,Country,interest_rate
2014-01-01,Indonesia,7.925876
2014-01-02,Indonesia,7.925876
2014-01-03,Indonesia,7.925876
2014-01-04,Indonesia,7.925876
2014-01-05,Indonesia,7.925876
2014-01-06,Indonesia,7.925876
2014-01-07,Indonesia,7.925876
2014-01-08,Indonesia,7.925876
2014-01-09,Indonesia,7.925876
2014-01-10,Indonesia,7.925876
2014-01-11,Indonesia,7.925876
2014-01-12,Indonesia,7.925876
2014-01-13,Indonesia,7.925876
2014-01-14,Indonesia,7.925876
2014-01-15,Indonesia,7.925876
2014-01-16,Indonesia,7.925876
2014-01-17,Indonesia,7.925876
2014-01-18,Indonesia,7.925876
2014-01-19,Indonesia,7.925876
2014-01-20,Indonesia,7.925876
2014-01-21,Indonesia,7.925876
2014-01-22,Indonesia,7.925876
2014-01-23,Indonesia,7.925876
2014-01-24,Indonesia,7.925876
2014-01-25,Indonesia,7.925876
2014-01-26,Indonesia,7.925876
2014-01-27,Indonesia,7.925876
2014-01-28,Indonesia,7.925876
2014-01-29,Indonesia,7.925876
2014-01-30,Indonesia,7.925876
2014-01-31,Indonesia,7.925876
2014-02-01,Indonesia,7.997925
2014-02-02,Indonesia,7.997925
2014-02-03,Indonesia,7.997925
2014-02-04,Indonesia,7.997925
2014-02-05,Indonesia,7.997925
2014-02-06,Indonesia,7.997925
2014-02-07,Indonesia,7.997925
2014-02-08,Indonesia,7.997925
2014-02-09,Indonesia,7.997925
2014-02-10,Indonesia,7.997925
2014-02-11,Indonesia,7.997925
2014-02-12,Indonesia,7.997925
2014-02-13,Indonesia,7.997925
2014-02-14,Indonesia,7.997925
2014-02-15,Indonesia,7.997925
2014-02-16,Indonesia,7.997925
2014-02-17,Indonesia,7.997925
2014-02-18,Indonesia,7.997925
2014-02-19,Indonesia,7.997925
2014-02-20,Indonesia,7.997925
2014-02-21,Indonesia,7.997925
2014-02-22,Indonesia,7.997925
2014-02-23,Indonesia,7.997925
2014-02-24,Indonesia,7.997925
2014-02-25,Indonesia,7.997925
2014-02-26,Indonesia,7.997925
2014-02-27,Indonesia,7.997925
2014-02-28,Indonesia,7.997925
2014-03-01,Indonesia,8.092905
2014-03-02,Indonesia,8.092905
2014-03-03,Indonesia,8.092905
2014-03-04,Indonesia,8.092905
2014-03-05,Indonesia,8.092905
2014-03-06,Indonesia,8.092905
2014-03-07,Indonesia,8.092905
2014-03-08,Indonesia,8.092905
2014-03-09,Indonesia,8.092905
2014-03-10,Indonesia,8.092905
2014-03-11,Indonesia,8.092905
2014-03-12,Indonesia,8.092905
2014-03-13,Indonesia,8.092905
2014-03-14,Indonesia,8.092905
2014-03-15,Indonesia,8.092905
2014-03-16,Indonesia,8.092905
2014-03-17,Indonesia,8.092905
2014-03-18,Indonesia,8.092905
2014-03-19,Indonesia,8.092905
2014-03-20,Indonesia,8.092905
2014-03-21,Indonesia,8.092905
2014-03-22,Indonesia,8.092905
2014-03-23,Indonesia,8.092905
2014-03-24,Indonesia,8.092905
2014-03-25,Indonesia,8.092905
2014-03-26,Indonesia,8.092905
2014-03-27,Indonesia,8.092905
2014-03-28,Indonesia,8.092905
2014-03-29,Indonesia,8.092905
2014-03-30,Indonesia,8.092905
2014-03-31,Indonesia,8.092905
2014-04-01,Indonesia,8.138687
2014-04-02,Indonesia,8.138687
2014-04-03,Indonesia,8.138687
2014-04-04,Indonesia,8.138687
2014-04-05,Indonesia,8.138687
2014-04-06,Indonesia,8.138687
2014-04-07,Indonesia,8.138687
2014-04-08,Indonesia,8.138687
2014-04-09,Indonesia,8.138687
2014-04-10,Indonesia,8.138687
2014-04-11,Indonesia,8.138687
2014-04-12,Indonesia,8.138687
2014-04-13,Indonesia,8.138687
2014-04-14,Indonesia,8.138687
2014-04-15,Indonesia,8.138687
2014-04-16,Indonesia,8.138687
2014-04-17,Indonesia,8.138687
2014-04-18,Indonesia,8.138687
2014-04-19,Indonesia,8.138687
2014-04-20,Indonesia,8.138687
2014-04-21,Indonesia,8.138687
2014-04-22,Indonesia,8.138687
2014-04-23,Indonesia,8.138687
2014-04-24,Indonesia,8.138687
2014-04-25,Indonesia,8.138687
2014-04-26,Indonesia,8.138687
2014-04-27,Indonesia,8.138687
2014-04-28,Indonesia,8.138687
2014-04-29,Indonesia,8.138687
2014-04-30,Indonesia,8.138687
2014-05-01,Indonesia,8.149566
2014-05-02,Indonesia,8.149566
2014-05-03,Indonesia,8.149566
2014-05-04,Indonesia,8.149566
2014-05-05,Indonesia,8.149566
2014-05-06,Indonesia,8.149566
2014-05-07,Indonesia,8.149566
2014-05-08,Indonesia,8.149566
2014-05-09,Indonesia,8.149566
2014-05-10,Indonesia,8.149566
2014-05-11,Indonesia,8.149566
2014-05-12,Indonesia,8.149566
2014-05-13,Indonesia,8.149566
2014-05-14,Indonesia,8.149566
2014-05-15,Indonesia,8.149566
2014-05-16,Indonesia,8.149566
2014-05-17,Indonesia,8.149566
2014-05-18,Indonesia,8.149566
2014-05-19,Indonesia,8.149566
2014-05-20,Indonesia,8.149566
2014-05-21,Indonesia,8.149566
2014-05-22,Indonesia,8.149566
2014-05-23,Indonesia,8.149566
2014-05-24,Indonesia,8.149566
2014-05-25,Indonesia,8.149566
2014-05-26,Indonesia,8.149566
2014-05-27,Indonesia,8.149566
2014-05-28,Indonesia,8.149566
2014-05-29,Indonesia,8.149566
2014-05-30,Indonesia,8.149566
2014-05-31,Indonesia,8.149566
2014-06-01,Indonesia,8.149955
2014-06-02,Indonesia,8.149955
2014-06-03,Indonesia,8.149955
2014-06-04,Indonesia,8.149955
2014-06-05,Indonesia,8.149955
2014-06-06,Indonesia,8.149955
2014-06-07,Indonesia,8.149955
2014-06-08,Indonesia,8.149955
2014-06-09,Indonesia,8.149955
2014-06-10,Indonesia,8.149955
2014-06-11,Indonesia,8.149955
2014-06-12,Indonesia,8.149955
2014-06-13,Indonesia,8.149955
2014-06-14,Indonesia,8.149955
2014-06-15,Indonesia,8.149955
2014-06-16,Indonesia,8.149955
2014-06-17,Indonesia,8.149955
2014-06-18,Indonesia,8.149955
2014-06-19,Indonesia,8.149955
2014-06-20,Indonesia,8.149955
2014-06-21,Indonesia,8.149955
2014-06-22,Indonesia,8.149955
2014-06-23,Indonesia,8.149955
2014-06-24,Indonesia,8.149955
2014-06-25,Indonesia,8.149955
2014-06-26,Indonesia,8.149955
2014-06-27,Indonesia,8.149955
2014-06-28,Indonesia,8.149955
2014-06-29,Indonesia,8.149955
